id;conference_id;main_name;sub_name;main_topic;sub_topic;description;is_free;language;start_date;end_date;last_talk_submission_time
1;82448;Toys;navigating card solutions;SPORTS;Netherlands Future;Investment Account models;true;ENGLISH;2020-02-02T02:51:56;2020-02-02T09:39:52;2020-02-02T09:00:01
2;27519;Licensed Fresh Shoes Berkshire;North Carolina XSS silver;SOFTWARE_ENGINEERING;copying;Incredible;false;FRENCH;2020-02-02T08:01:36;2020-02-02T08:15:43;2020-02-02T17:16:21
3;51341;enterprise;ability;SOFTWARE_ENGINEERING;South Carolina panel;Facilitator invoice;false;ENGLISH;2020-02-02T10:52:11;2020-02-02T07:43:09;2020-02-02T00:41:50
4;47316;Berkshire;Tactics navigate Frozen;FINANCE;cyan Creative;Forward;false;FRENCH;2020-02-01T22:15:19;2020-02-02T13:25:02;2020-02-02T14:09:39
5;93715;primary bi-directional;Dynamic;SPORTS;reinvent solid state;deposit quantify Courts;true;ENGLISH;2020-02-01T20:00:45;2020-02-01T19:13:29;2020-02-02T17:37:44
6;5526;programming;silver;SPORTS;Wisconsin Port;Kansas Tactics Fundamental;false;TURKISH;2020-02-01T20:15:48;2020-02-02T16:02:22;2020-02-02T17:20:52
7;81840;Walk;flexibility;FINANCE;applications;Fiji;false;SPANISH;2020-02-02T05:12:05;2020-02-02T05:31:25;2020-02-02T07:25:56
8;88578;paradigms Michigan Pants;virtual;SOFTWARE_ENGINEERING;B2B Tokelau payment;microchip Quality;true;ENGLISH;2020-02-01T23:42:20;2020-02-01T19:03:12;2020-02-02T13:15:00
9;56817;Integration alarm;Technician;SOFTWARE_ENGINEERING;Realigned Pants;Producer Seamless transmitter;true;SPANISH;2020-02-02T13:30:25;2020-02-02T14:36:14;2020-02-02T09:05:55
10;61017;parsing;calculate;SPORTS;feed;optical;false;TURKISH;2020-02-01T19:52:41;2020-02-01T22:00:19;2020-02-02T15:12:43
