id;date;comment;reviewer;status
1;2020-02-01T20:12:19;port;Music Engineer;APPROVED
2;2020-02-02T16:58:49;generating;e-business;NEED_MORE_REVIEW
3;2020-02-02T17:41:32;indexing;Plastic Route synergies;NEED_MORE_REVIEW
4;2020-02-02T02:53:24;Licensed;programming;REJECTED
5;2020-02-01T22:41:47;azure Congo;Chief Gold;REJECTED
6;2020-02-02T04:54:07;magenta Functionality Assistant;override;NEED_MORE_REVIEW
7;2020-02-02T05:45:44;Metal Intranet;Frozen impactful Savings Account;APPROVED
8;2020-02-02T04:35:41;Fish hardware Georgia;Cheese architect;APPROVED
9;2020-02-02T12:18:38;visualize;multi-byte Soft;APPROVED
10;2020-02-02T15:04:22;fuchsia Rustic;Tasty Steel Shirt Program Re-engineered;APPROVED
